attendance,assignment_completion,test_average,coding_hours,goals_completed,projects_completed,interview_practice_hours,label
92.5,95.0,88.0,8.5,5,3,4.0,ON_TRACK
85.0,88.0,82.0,6.0,4,2,3.0,ON_TRACK
78.0,80.0,75.0,5.5,3,2,2.5,ON_TRACK
96.0,98.0,94.0,10.0,6,4,5.0,ON_TRACK
90.0,92.0,86.0,7.0,5,3,3.5,ON_TRACK
88.0,85.0,89.0,8.0,4,2,4.0,ON_TRACK
94.0,90.0,91.0,9.0,5,3,4.5,ON_TRACK
82.0,84.0,80.0,6.5,4,2,2.0,ON_TRACK
89.0,91.0,85.0,7.5,4,3,3.0,ON_TRACK
91.0,89.0,93.0,8.0,5,3,4.0,ON_TRACK
68.0,72.0,65.0,3.5,2,1,1.5,NEEDS_ATTENTION
74.0,69.0,70.0,4.0,3,1,2.0,NEEDS_ATTENTION
70.0,75.0,68.0,3.0,2,1,1.0,NEEDS_ATTENTION
65.0,71.0,66.0,4.5,3,1,1.5,NEEDS_ATTENTION
72.0,68.0,72.0,3.5,2,1,2.0,NEEDS_ATTENTION
75.0,65.0,64.0,4.0,3,1,1.0,NEEDS_ATTENTION
69.0,74.0,67.0,3.0,2,1,1.5,NEEDS_ATTENTION
73.0,70.0,71.0,4.0,3,1,2.0,NEEDS_ATTENTION
71.0,67.0,69.0,3.5,2,1,1.0,NEEDS_ATTENTION
66.0,73.0,65.0,4.0,2,1,1.5,NEEDS_ATTENTION
45.0,50.0,48.0,1.5,1,0,0.5,AT_RISK
52.0,48.0,55.0,2.0,1,0,0.0,AT_RISK
58.0,54.0,50.0,1.0,0,0,0.5,AT_RISK
40.0,42.0,45.0,1.0,0,0,0.0,AT_RISK
55.0,58.0,52.0,2.5,1,0,0.5,AT_RISK
48.0,45.0,42.0,1.5,0,0,0.0,AT_RISK
50.0,53.0,49.0,2.0,1,0,0.5,AT_RISK
42.0,49.0,44.0,1.0,0,0,0.0,AT_RISK
56.0,51.0,53.0,2.0,1,0,0.5,AT_RISK
38.0,40.0,39.0,0.5,0,0,0.0,AT_RISK
